,formula,min_proba
0,Sn2S3,0.9354977939600572
1,Lu2Te3,0.9692999999999996
2,Si,0.9399374723209716
3,SiC,0.9048000000000004
4,S,0.9571132065366952
5,Ba2HgS3,0.9126999999999996
6,ZnS,0.9249999999999996
7,CaC2,0.9766610011486632
8,TePb2O5,0.933756172305063
9,BaTe,0.9825734330982878
10,LuPb3,0.9011000000000003
11,Ca2Pb,0.9288999999999996
12,HfO2,0.987293599849513
13,SnSe,0.9635925616295709
14,CO2,0.9583210286374166
15,Se,0.9068475242238588
16,SiO2,0.9219026494477024
17,TeIr,0.9221000000000004
18,TiS2,0.9388
19,Te2Ir,0.9504
20,BaO2,0.9307324996073012
21,Ba3Zr2S7,0.9051000000000002
22,CdSe,0.9533435895685696
23,ZrO2,0.9812593337402308
24,TiZn2O4,0.9641704704970916
25,SnO2,0.9651490281626478
26,CdTe,0.9667184493278376
27,SrS2,0.9429312269891488
28,ZnO,0.9765999999999996
29,MgS,0.9651517757429088
30,CeZrO4,0.9083021896131712
31,C,0.9257999999999998
32,HfSe2,0.9839
33,Er5Sn3,0.9116000000000006
34,PbS,0.985997923577925
35,Tl2Te3,0.9200000000000004
36,Te,0.9424
37,Er2WO6,0.9228000000000004
38,PbO,0.9861079903452268
39,BaSi2,0.9160808930863682
40,BaZrS3,0.9380538585411092
41,MoO3,0.9011999999999998
42,SrTiO3,0.9355612750410246
43,BaGe2,0.9346
44,SrZrO3,0.9748880074839188
45,BaZrO3,0.9732499376936444
46,BaS2,0.9423576841162936
47,HgSe,0.9801999999999996
48,TiCdO3,0.9656971173107992
49,HfSe3,0.9245
50,Sn,0.9236999999999996
51,HgO,0.9860090972574252
52,HfGe2,0.9400999999999996
53,Pb,0.9188000000000004
54,Ca2Sn,0.9174999999999998
55,SiS2,0.9517512137485074
56,HfPbO3,0.9817400749356908
57,CS2,0.9297636895754764
58,Dy2O3,0.9345198826196488
59,CaSi2,0.9765999999999996
60,Ba6Hf5S16,0.9516999999999994
61,Pb2CO4,0.9277878943196614
62,SrCa3O4,0.9516999999999998
63,Ba4Zr3S10,0.9353000000000004
64,Os2C3,0.9222494604303394
65,HgS,0.9855594063132804
66,ZnWO4,0.9674
67,HfSnS3,0.9650275152784156
68,BaO,0.98104706318985
69,SeO2,0.9354999999999998
70,TePb,0.9864266726726536
71,BaS3,0.9210452361839953
72,SnS,0.963771535146586
73,ZrPbS3,0.9656740674278071
74,ZnTe,0.9403999999999998
75,Sr2Ta2O7,0.9348999999999998
76,SrY2O4,0.9502478095740452
77,La2Zr2O7,0.9096
78,WO3,0.9180470836962938
79,SiSe2,0.9457886350875736
80,Hf2Ge,0.9114
81,TiO2,0.9803878591297024
82,CaS,0.983116003364908
83,IrC2,0.9355590110710864
84,MoPbO4,0.9329834958649008
85,LuGe2,0.9328999999999996
86,HoTe2,0.908044489174176
87,CaLu2O4,0.944442733453302
88,Si8C3,0.9384999999999996
89,ErPb3,0.9068
90,SrO2,0.9445
91,Sr4SO3,0.9301
92,ZrPbO3,0.979044592109546
93,HfC,0.951250848856134
94,SnS2,0.9352715146510968
95,Ca(LuS2)2,0.901424730752484
